File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF225ZPU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR377BLZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GTF2F1-human	DNA			SDS	formaldehyde		2018-01-16	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF126URC/, /files/ENCFF816FYO/, /files/ENCFF869HDT/, /files/ENCFF974LVO/	263104	ENCODE Processing Pipeline	0302a2ad6a79f3f9b1a7d75a4805d5e0		https://www.encodeproject.org/files/ENCFF225ZPU/@@download/ENCFF225ZPU.bed.gz				released	s3://encode-public/2020/12/04/007ca745-bfd7-4469-87e3-6279f5d3eefb/ENCFF225ZPU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/007ca745-bfd7-4469-87e3-6279f5d3eefb/ENCFF225ZPU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	
ENCFF940JZP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR377BLZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GTF2F1-human	DNA			SDS	formaldehyde		2018-01-16	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF225ZPU/	576998	ENCODE Processing Pipeline	11e19497a2c2c9f1994abc08b92e54a1		https://www.encodeproject.org/files/ENCFF940JZP/@@download/ENCFF940JZP.bigBed				released	s3://encode-public/2020/12/04/56cd7a11-ef01-477f-9dc9-1ff6f1317fb6/ENCFF940JZP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/56cd7a11-ef01-477f-9dc9-1ff6f1317fb6/ENCFF940JZP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	
ENCFF039LHY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR247XFV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CCAR2-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF824AIG/, /files/ENCFF722JQU/, /files/ENCFF292UIZ/	55213	ENCODE Processing Pipeline	d99f1df76c3a2ebd93c2a6b63dd56912		https://www.encodeproject.org/files/ENCFF039LHY/@@download/ENCFF039LHY.bed.gz				released	s3://encode-public/2018/01/09/e4785f41-a08d-401c-85c1-13e3486775ef/ENCFF039LHY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/01/09/e4785f41-a08d-401c-85c1-13e3486775ef/ENCFF039LHY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, moderate library complexity		
ENCFF788OMU	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR247XFV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CCAR2-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF039LHY/	160383	ENCODE Processing Pipeline	820db1d7bbc33b9e49f1e7520ce29ae9		https://www.encodeproject.org/files/ENCFF788OMU/@@download/ENCFF788OMU.bigBed				released	s3://encode-public/2018/01/09/6925d76c-96cc-4150-9efd-f5cc331e2ec8/ENCFF788OMU.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/01/09/6925d76c-96cc-4150-9efd-f5cc331e2ec8/ENCFF788OMU.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, moderate library complexity		
ENCFF338DEV	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR247XFV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CCAR2-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF504CCV/	154284	ENCODE Processing Pipeline	7fd6c41badc52ecddc932b572433f1ad		https://www.encodeproject.org/files/ENCFF338DEV/@@download/ENCFF338DEV.bigBed				released	s3://encode-public/2020/12/04/6b2a5a91-e0b4-4562-93fc-6667a05d0cba/ENCFF338DEV.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/6b2a5a91-e0b4-4562-93fc-6667a05d0cba/ENCFF338DEV.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, moderate library complexity		
ENCFF504CCV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR247XFV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CCAR2-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF770PNC/, /files/ENCFF257YFY/, /files/ENCFF475UDH/, /files/ENCFF356LFX/, /files/ENCFF526YGY/	52104	ENCODE Processing Pipeline	f600b2e8281b7284cbad579d410abf1f		https://www.encodeproject.org/files/ENCFF504CCV/@@download/ENCFF504CCV.bed.gz				released	s3://encode-public/2020/12/04/93e4a9d4-531b-4bf6-abc5-867f0b491777/ENCFF504CCV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/93e4a9d4-531b-4bf6-abc5-867f0b491777/ENCFF504CCV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, moderate library complexity		
ENCFF783LYO	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR814AJH	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SRSF9-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF217HAW/	34970	ENCODE Processing Pipeline	a9bd3c08d5d1a86e6b9b3fd04be37079		https://www.encodeproject.org/files/ENCFF783LYO/@@download/ENCFF783LYO.bigBed				released	s3://encode-public/2016/10/31/1810c246-4d39-413a-b5cf-cc6e1b8f8716/ENCFF783LYO.bigBed	https://datasetencode.blob.core.windows.net/dataset/2016/10/31/1810c246-4d39-413a-b5cf-cc6e1b8f8716/ENCFF783LYO.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF217HAW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR814AJH	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SRSF9-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF726NAA/, /files/ENCFF419RSJ/, /files/ENCFF156ISN/, /files/ENCFF728TXA/	647	ENCODE Processing Pipeline	ab86c3dadb50c09aed10410be667f6e8		https://www.encodeproject.org/files/ENCFF217HAW/@@download/ENCFF217HAW.bed.gz				released	s3://encode-public/2016/10/31/48767548-8602-4933-9b12-94e594184b21/ENCFF217HAW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/10/31/48767548-8602-4933-9b12-94e594184b21/ENCFF217HAW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF746IEZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR814AJH	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SRSF9-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF750VAF/, /files/ENCFF289JTM/, /files/ENCFF178FKJ/, /files/ENCFF323SRA/	474	ENCODE Processing Pipeline	cb60feabd6135d932a52a23e3f9553fb		https://www.encodeproject.org/files/ENCFF746IEZ/@@download/ENCFF746IEZ.bed.gz				released	s3://encode-public/2020/12/03/1dbe656d-c91a-4ae3-b090-40bddcd2d648/ENCFF746IEZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/1dbe656d-c91a-4ae3-b090-40bddcd2d648/ENCFF746IEZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF344CAP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR814AJH	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SRSF9-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF746IEZ/	21612	ENCODE Processing Pipeline	09c7f86585a9464137a9483c1185fcc6		https://www.encodeproject.org/files/ENCFF344CAP/@@download/ENCFF344CAP.bigBed				released	s3://encode-public/2020/12/03/0eea0a46-b500-4a4a-ae32-65668043d758/ENCFF344CAP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/0eea0a46-b500-4a4a-ae32-65668043d758/ENCFF344CAP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF411YVY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR072VUO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF157CME/, /files/ENCFF428NSD/, /files/ENCFF419RSJ/, /files/ENCFF328WUR/	103479	ENCODE Processing Pipeline	6515f239fea878af719b52d4479c71f1		https://www.encodeproject.org/files/ENCFF411YVY/@@download/ENCFF411YVY.bed.gz				released	s3://encode-public/2017/02/08/92451bdc-9357-4dec-8651-0c7e74fe67d0/ENCFF411YVY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/92451bdc-9357-4dec-8651-0c7e74fe67d0/ENCFF411YVY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF916WYW	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR072VUO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF411YVY/	259259	ENCODE Processing Pipeline	d2fe6cbce08794d147c9ae1c6dcbf860		https://www.encodeproject.org/files/ENCFF916WYW/@@download/ENCFF916WYW.bigBed				released	s3://encode-public/2017/02/08/77b63daf-c72e-4c97-b639-184c11e35ab3/ENCFF916WYW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/77b63daf-c72e-4c97-b639-184c11e35ab3/ENCFF916WYW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF537RNU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR072VUO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF126URC/, /files/ENCFF974LVO/, /files/ENCFF979DVB/, /files/ENCFF976LCQ/	105039	ENCODE Processing Pipeline	298ae94629e5f3aa48d28787f898b6d4		https://www.encodeproject.org/files/ENCFF537RNU/@@download/ENCFF537RNU.bed.gz				released	s3://encode-public/2020/12/04/d2b885e1-91b7-43db-b0b3-7b6abced3d5b/ENCFF537RNU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/d2b885e1-91b7-43db-b0b3-7b6abced3d5b/ENCFF537RNU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF765XSF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR072VUO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	DNA			SDS	formaldehyde		2017-12-01	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF537RNU/	260406	ENCODE Processing Pipeline	7c5a0c5142137c2aaea4c3fbeada7234		https://www.encodeproject.org/files/ENCFF765XSF/@@download/ENCFF765XSF.bigBed				released	s3://encode-public/2020/12/04/d57c2fc1-34ab-49e2-985b-b23105fcfa06/ENCFF765XSF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/d57c2fc1-34ab-49e2-985b-b23105fcfa06/ENCFF765XSF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF054XCG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ATX	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										KDM1A-human	DNA						2012-08-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF420ARY/, /files/ENCFF560APS/, /files/ENCFF226FKB/, /files/ENCFF356LFX/, /files/ENCFF899FBF/, /files/ENCFF915PIL/, /files/ENCFF666YXZ/	534042	ENCODE Processing Pipeline	2901a1fbb9eaa9b97745a46fe3dde623		https://www.encodeproject.org/files/ENCFF054XCG/@@download/ENCFF054XCG.bed.gz				released	s3://encode-public/2020/12/11/c357c14a-a5a2-43b0-a0aa-5339b307f861/ENCFF054XCG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/c357c14a-a5a2-43b0-a0aa-5339b307f861/ENCFF054XCG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, inconsistent platforms, mild to moderate bottlenecking	insufficient replicate concordance, poor library complexity, insufficient read depth, severe bottlenecking	
ENCFF934ZRG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ATX	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										KDM1A-human	DNA						2012-08-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF054XCG/	976005	ENCODE Processing Pipeline	b30fd9982a7c4d89bc82c1a254c4be7d		https://www.encodeproject.org/files/ENCFF934ZRG/@@download/ENCFF934ZRG.bigBed				released	s3://encode-public/2020/12/11/fd1a4ef8-5817-418b-aae1-4e70a7f16c21/ENCFF934ZRG.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/fd1a4ef8-5817-418b-aae1-4e70a7f16c21/ENCFF934ZRG.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, inconsistent platforms, mild to moderate bottlenecking	insufficient replicate concordance, poor library complexity, insufficient read depth, severe bottlenecking	
ENCFF875ZPV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR156APP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										PTBP1-human	DNA			SDS	formaldehyde		2018-01-19	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF685RJG/, /files/ENCFF419RSJ/, /files/ENCFF024DUK/, /files/ENCFF497EQS/	86759	ENCODE Processing Pipeline	7be1bea5334084348a1338651b05c4da		https://www.encodeproject.org/files/ENCFF875ZPV/@@download/ENCFF875ZPV.bed.gz				released	s3://encode-public/2018/01/09/68c0982d-d2ac-4e4e-adb7-5ed2e9fa9b10/ENCFF875ZPV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/01/09/68c0982d-d2ac-4e4e-adb7-5ed2e9fa9b10/ENCFF875ZPV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, low read depth	poor library complexity, severe bottlenecking	
ENCFF472NST	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR156APP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										PTBP1-human	DNA			SDS	formaldehyde		2018-01-19	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF875ZPV/	211570	ENCODE Processing Pipeline	14b2c1223fda20e82c7f8eccca412069		https://www.encodeproject.org/files/ENCFF472NST/@@download/ENCFF472NST.bigBed				released	s3://encode-public/2018/01/09/47b10426-92f7-4939-a95d-e5c1fb2656e5/ENCFF472NST.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/01/09/47b10426-92f7-4939-a95d-e5c1fb2656e5/ENCFF472NST.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, low read depth	poor library complexity, severe bottlenecking	
ENCFF046OVF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR156APP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										PTBP1-human	DNA			SDS	formaldehyde		2018-01-19	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF803CWD/	202117	ENCODE Processing Pipeline	67d2fa7cba6ad289e8e213fd1b9a8c22		https://www.encodeproject.org/files/ENCFF046OVF/@@download/ENCFF046OVF.bigBed				released	s3://encode-public/2020/12/04/797aa747-ebd4-49dd-b32e-a70ac9c58449/ENCFF046OVF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/797aa747-ebd4-49dd-b32e-a70ac9c58449/ENCFF046OVF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth	poor library complexity, severe bottlenecking	
ENCFF803CWD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR156APP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										PTBP1-human	DNA			SDS	formaldehyde		2018-01-19	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF158NJD/, /files/ENCFF848PEZ/, /files/ENCFF274QEC/, /files/ENCFF240ZTM/, /files/ENCFF356LFX/	81795	ENCODE Processing Pipeline	451f0a883c58c6731f0869ce32a91054		https://www.encodeproject.org/files/ENCFF803CWD/@@download/ENCFF803CWD.bed.gz				released	s3://encode-public/2020/12/04/e0fba784-2765-46fa-b6fe-abbc1bdbc6c8/ENCFF803CWD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/e0fba784-2765-46fa-b6fe-abbc1bdbc6c8/ENCFF803CWD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth	poor library complexity, severe bottlenecking	
ENCFF588CXX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR536CBU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-704'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/221504/'], '@type': ['Target', 'Item'], 'name': 'ZBTB9-human', 'label': 'ZBTB9', '@id': '/targets/ZBTB9-human/', 'title': 'ZBTB9 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e6d0b2fa-e0cd-4487-b7a7-e2f1a551bb3e', 'status': 'released'}				ZBTB9-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF216FAB/, /files/ENCFF380GKY/	275972	ENCODE Processing Pipeline	c4faaf3e805d2fcfd7c9037fdb768174		https://www.encodeproject.org/files/ENCFF588CXX/@@download/ENCFF588CXX.bed.gz				released	s3://encode-public/2020/07/01/352f8d6c-d5f3-4134-a706-ad7861e38dd3/ENCFF588CXX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/352f8d6c-d5f3-4134-a706-ad7861e38dd3/ENCFF588CXX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF233EFX	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR536CBU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-704'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/221504/'], '@type': ['Target', 'Item'], 'name': 'ZBTB9-human', 'label': 'ZBTB9', '@id': '/targets/ZBTB9-human/', 'title': 'ZBTB9 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e6d0b2fa-e0cd-4487-b7a7-e2f1a551bb3e', 'status': 'released'}				ZBTB9-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF588CXX/	579122	ENCODE Processing Pipeline	7c41f307aeb650e00976a1cfd98e4ee0		https://www.encodeproject.org/files/ENCFF233EFX/@@download/ENCFF233EFX.bigBed				released	s3://encode-public/2020/07/01/2e54a92b-3263-4b02-b125-6fafa96af89a/ENCFF233EFX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/2e54a92b-3263-4b02-b125-6fafa96af89a/ENCFF233EFX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF211PWC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EXO	TF ChIP-seq	/human-donors/ENCDO272AAA/	CL:0000765	erythroblast	primary cell	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF534UTR/, /files/ENCFF035BSX/, /files/ENCFF356LFX/, /files/ENCFF356BAJ/	628364	ENCODE Processing Pipeline	b4c7ce7ff05e5fa9441ccbd3eb92993c		https://www.encodeproject.org/files/ENCFF211PWC/@@download/ENCFF211PWC.bed.gz				released	s3://encode-public/2020/12/12/433cdacc-1f0b-4470-94c5-8fb34ff62735/ENCFF211PWC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/433cdacc-1f0b-4470-94c5-8fb34ff62735/ENCFF211PWC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking		
ENCFF498VMR	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EXO	TF ChIP-seq	/human-donors/ENCDO272AAA/	CL:0000765	erythroblast	primary cell	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF211PWC/	1437600	ENCODE Processing Pipeline	38b01c43a0a46fc296fe046c9464867e		https://www.encodeproject.org/files/ENCFF498VMR/@@download/ENCFF498VMR.bigBed				released	s3://encode-public/2020/12/12/4a2207e6-efca-439c-9147-2d87f62b7910/ENCFF498VMR.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/4a2207e6-efca-439c-9147-2d87f62b7910/ENCFF498VMR.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking		
